type,price,datetime,prev_candle_idx,curr_candle_idx,prev_high,curr_high,prev_close,curr_close,retracement_pct,num_hits,num_reversals,strength_score,strength
resistance,19781.2,2023-10-16 13:00:00,561,562,19777.75,19781.2,19770.05,19754.7,0.13396558348330737,9,5,70.27,Very Strong
resistance,19568.7,2023-10-19 09:30:00,625,626,19568.7,19556.1,19553.5,19542.6,0.13337625902590455,20,6,70.27,Very Strong
resistance,17621.35,2023-04-06 11:45:00,88,89,17621.35,17617.5,17610.25,17597.85,0.1333609513459525,68,5,70.27,Very Strong
resistance,25072.2,2024-10-15 13:45:00,1318,1319,25066.2,25072.2,25064.05,25038.3,0.1352095149209142,58,7,70.27,Very Strong
resistance,25069.7,2024-10-15 14:30:00,1321,1322,25065.8,25069.7,25062.8,25035.95,0.13462466642999318,55,7,70.27,Very Strong
resistance,25141.35,2024-10-14 12:45:00,1288,1289,25140.65,25141.35,25137.7,25108.75,0.1296668635534629,52,3,70.26,Very Strong
resistance,25131.8,2024-10-14 10:15:00,1278,1279,25131.8,25118.4,25100.15,25099.45,0.12872138087999485,59,4,70.26,Very Strong
resistance,22516.85,2024-04-05 11:15:00,814,815,22514.65,22516.85,22514.4,22487.25,0.13145710878741276,18,5,70.26,Very Strong
resistance,25326.0,2025-10-15 11:00:00,2060,2061,25317.6,25326.0,25315.95,25292.6,0.13188028113401823,14,4,70.26,Very Strong
resistance,17632.85,2023-04-19 15:15:00,284,285,17632.85,17629.35,17628.6,17610.2,0.12845342641715787,22,6,70.26,Very Strong
resistance,17770.1,2023-04-13 12:00:00,193,194,17770.1,17768.75,17769.2,17746.6,0.13224461314230085,8,4,70.26,Very Strong
resistance,25315.2,2025-10-10 11:15:00,1984,1985,25310.7,25315.2,25309.95,25282.55,0.1289738971053022,35,5,70.26,Very Strong
resistance,19831.5,2023-10-11 09:45:00,470,471,19822.15,19831.5,19809.0,19806.1,0.12807906613217082,62,6,70.26,Very Strong
resistance,25109.7,2024-10-09 09:45:00,1198,1199,25091.0,25109.7,25086.55,25076.95,0.13042768332556742,67,6,70.26,Very Strong
