type,price,datetime,prev_candle_idx,curr_candle_idx,prev_low,curr_low,prev_close,curr_close,retracement_pct,num_hits,num_reversals,strength_score,strength
support,25120.5,2025-10-09 14:30:00,1971,1972,25120.5,25128.45,25137.55,25153.55,0.13156585259051082,12,5,70.26,Very Strong
support,25287.0,2025-10-15 11:15:00,2061,2062,25287.0,25288.8,25292.6,25319.25,0.12753588800569463,9,6,70.26,Very Strong
support,25098.2,2025-10-07 11:45:00,1908,1909,25098.2,25109.0,25121.7,25130.65,0.129292140472228,28,5,70.26,Very Strong
support,22669.1,2024-04-09 12:45:00,872,873,22669.1,22686.8,22687.55,22698.1,0.12792744308331605,21,7,70.26,Very Strong
support,22419.1,2024-04-03 11:00:00,761,762,22419.1,22440.1,22444.65,22447.7,0.12756979539768407,19,5,70.26,Very Strong
support,17659.4,2023-04-18 12:00:00,245,246,17659.4,17668.45,17670.2,17682.15,0.1288265739492848,11,4,70.26,Very Strong
support,17606.2,2023-04-10 10:30:00,109,110,17606.2,17609.2,17609.3,17629.2,0.1306357987527121,60,4,70.26,Very Strong
support,25032.45,2025-10-06 14:30:00,1893,1894,25035.0,25032.45,25035.0,25064.95,0.12983147874059472,18,6,70.26,Very Strong
support,17615.8,2023-04-19 10:15:00,264,265,17615.8,17627.75,17628.95,17637.8,0.12488788473983585,30,6,70.25,Very Strong
support,24739.95,2025-09-26 11:45:00,1752,1753,24742.3,24739.95,24751.25,24771.2,0.12631391736846678,23,5,70.25,Very Strong
support,22355.9,2024-04-15 11:45:00,946,947,22368.95,22355.9,22372.6,22383.55,0.12368099696276069,14,3,70.25,Very Strong
support,19519.7,2023-10-05 13:15:00,380,381,19519.7,19523.0,19529.35,19543.8,0.12346501226964833,33,5,70.25,Very Strong
support,17626.95,2023-04-18 14:45:00,256,257,17626.95,17637.85,17642.1,17649.2,0.12622716919262833,30,6,70.25,Very Strong
support,19560.8,2023-10-19 10:15:00,628,629,19567.15,19560.8,19575.4,19584.95,0.12346120813055425,13,5,70.25,Very Strong
support,23572.1,2025-03-27 15:15:00,1428,1429,23572.1,23576.45,23589.25,23601.05,0.12281468346053483,8,3,70.25,Very Strong
support,23273.0,2025-04-02 14:15:00,1502,1503,23273.0,23276.6,23278.3,23301.6,0.12288918489235828,21,4,70.25,Very Strong
support,23221.35,2025-04-01 11:15:00,1464,1465,23221.35,23224.25,23228.95,23250.85,0.12703826435586218,14,6,70.25,Very Strong
support,25176.65,2025-10-13 14:00:00,2021,2022,25176.65,25183.85,25185.65,25207.5,0.12253417352983238,8,3,70.25,Very Strong
support,25008.85,2024-10-15 13:15:00,1316,1317,25008.85,25022.6,25025.35,25039.15,0.1211571103829361,40,6,70.24,Very Strong
support,25022.15,2024-10-15 15:00:00,1323,1324,25026.85,25022.15,25030.3,25052.65,0.12189200368473531,45,3,70.24,Very Strong
support,22405.6,2025-04-09 12:00:00,1623,1624,22411.75,22405.6,22414.85,22432.15,0.11849716142394273,13,5,70.24,Very Strong
support,17754.3,2023-04-12 12:15:00,168,169,17754.3,17760.8,17761.75,17775.55,0.11968931470122732,17,7,70.24,Very Strong
support,22479.8,2024-04-05 10:45:00,812,813,22479.8,22486.8,22491.75,22506.4,0.11832845487950153,20,5,70.24,Very Strong
support,25005.75,2024-10-10 13:00:00,1237,1238,25005.75,25007.1,25008.9,25035.4,0.11857272827250315,53,5,70.24,Very Strong
support,19690.5,2023-10-10 14:15:00,462,463,19690.5,19695.45,19696.05,19714.6,0.12239404789110761,31,6,70.24,Very Strong
support,22680.35,2024-04-10 10:00:00,887,888,22683.3,22680.35,22700.55,22707.3,0.11882532676965184,17,6,70.24,Very Strong
support,24811.5,2025-10-03 12:00:00,1857,1858,24811.5,24817.9,24819.5,24840.4,0.11647824597465471,10,7,70.23,Very Strong
support,25115.55,2025-10-14 11:30:00,2036,2037,25115.55,25122.5,25141.55,25144.85,0.11666079381100264,9,4,70.23,Very Strong
support,17626.8,2023-04-10 11:30:00,113,114,17626.8,17631.55,17635.0,17647.2,0.11573286132480914,48,5,70.23,Very Strong
support,22453.3,2024-04-01 11:00:00,709,710,22467.45,22453.3,22477.05,22479.45,0.11646394961988418,47,6,70.23,Very Strong
support,25248.75,2025-10-10 10:15:00,1980,1981,25248.75,25262.2,25262.45,25276.2,0.10871825337888304,10,5,70.22,Very Strong
support,19773.65,2023-10-12 10:00:00,497,498,19778.25,19773.65,19779.9,19794.95,0.1077191110391823,25,3,70.22,Very Strong
support,22456.1,2024-04-04 13:00:00,795,796,22458.7,22456.1,22468.85,22481.05,0.11110566839300114,12,5,70.22,Very Strong
support,17663.85,2023-04-11 13:15:00,146,147,17663.85,17665.45,17667.6,17683.15,0.109262703204584,32,5,70.22,Very Strong
support,25794.35,2024-09-30 15:15:00,1064,1065,25802.0,25794.35,25812.25,25822.8,0.11029547168275507,19,3,70.22,Very Strong
support,22520.8,2024-04-12 14:45:00,932,933,22532.05,22520.8,22532.05,22545.8,0.1110084899293098,8,4,70.22,Very Strong
support,22342.2,2024-03-28 11:00:00,683,684,22342.2,22345.55,22346.45,22367.3,0.1123434576720222,31,6,70.22,Very Strong
support,19545.35,2023-10-20 11:00:00,657,658,19547.9,19545.35,19549.15,19567.25,0.11204711094967067,16,3,70.22,Very Strong
support,17577.6,2023-04-06 10:30:00,83,84,17577.6,17581.15,17582.4,17597.25,0.11179000546150474,36,8,70.22,Very Strong
support,24964.95,2025-09-25 13:30:00,1733,1734,24964.95,24969.35,24976.0,24992.9,0.11195696366305852,10,4,70.22,Very Strong
support,25119.75,2025-10-09 13:15:00,1966,1967,25119.75,25127.7,25132.95,25147.3,0.10967465838632659,17,6,70.22,Very Strong
support,19777.1,2023-10-12 15:00:00,517,518,19787.15,19777.1,19794.1,19799.2,0.11174540251099596,14,5,70.22,Very Strong
support,22433.5,2024-04-01 14:45:00,724,725,22434.15,22433.5,22436.25,22457.1,0.10519981277998772,41,5,70.21,Very Strong
support,24999.75,2025-09-25 11:00:00,1723,1724,24999.75,25004.3,25007.05,25026.1,0.10540105401053428,16,3,70.21,Very Strong
support,23574.85,2025-03-27 12:30:00,1417,1418,23583.0,23574.85,23585.95,23599.7,0.10540894215658714,17,4,70.21,Very Strong
support,22475.7,2024-04-05 13:15:00,822,823,22475.7,22479.1,22484.85,22499.3,0.10500229136355506,9,5,70.21,Very Strong
support,25172.5,2025-10-13 11:45:00,2012,2013,25172.5,25175.2,25179.45,25198.7,0.10408183533618325,16,7,70.21,Very Strong
support,25085.9,2025-10-07 15:15:00,1922,1923,25085.9,25088.6,25091.0,25112.8,0.107231552385993,20,7,70.21,Very Strong
support,22691.45,2024-04-10 13:00:00,899,900,22691.45,22694.55,22698.2,22715.1,0.10422427830745862,8,5,70.21,Very Strong
support,19555.1,2023-10-19 11:00:00,631,632,19558.05,19555.1,19559.8,19574.85,0.10099667094517545,15,4,70.2,Very Strong
support,22423.45,2024-04-03 15:15:00,778,779,22423.45,22423.5,22430.7,22445.55,0.09855753686430298,13,5,70.2,Very Strong
support,24633.95,2025-09-29 12:15:00,1780,1781,24633.95,24639.1,24641.7,24658.55,0.09986218206986107,27,5,70.2,Very Strong
support,22409.7,2025-04-09 13:00:00,1627,1628,22416.25,22409.7,22425.3,22432.1,0.0999567151724379,9,6,70.2,Very Strong
support,19527.35,2023-10-20 12:00:00,661,662,19527.35,19530.6,19539.2,19546.95,0.10037204228941553,13,4,70.2,Very Strong
support,19729.8,2023-10-13 13:30:00,537,538,19729.8,19733.25,19732.25,19749.85,0.10162292572656222,20,7,70.2,Very Strong
support,22393.05,2024-04-02 13:15:00,744,745,22408.2,22393.05,22409.05,22415.35,0.09958446928845903,38,5,70.2,Very Strong
support,25085.6,2025-09-24 12:45:00,1704,1705,25088.95,25085.6,25092.4,25109.5,0.09527378256849131,35,5,70.19,Very Strong
support,17669.6,2023-04-10 12:45:00,118,119,17669.6,17673.65,17677.5,17686.15,0.09366369357542283,41,4,70.19,Very Strong
